Endangered Species Act,IUCN Red List,CITES,Population,URL
Threatened,Vulnerable,Appendix I,"An estimated 5 million American alligators are spread out across the southeastern United States. Roughly 1.25 million alligators live in the state of Florida. There are more than 1,000 American crocodiles, not including hatchlings, in Florida",/wildlife/american-crocodile-and-alligator
Not listed,Not listed,Not listed,"There are about 230 species of amphibians, including about 190 species of salamanders and 90 species of frogs and toads, that can be found in the continental United States",/wildlife/amphibians
Delisted,Least Concern,Not listed,"As a result of conservation efforts, the bald eagle population has risen from a mere 417 nesting pairs in 1963 to more than 71,400 nesting pairs and an estimated 316,700 individual birds in the Lower 48 today",/wildlife/bald-eagle
Not listed,Not listed,Not listed,"While some bat populations number in the millions, others are dangerously low or in decline",/wildlife/bats
Not Listed,Least Concern,Not Listed,Today there are about 10–15 million in North America,/wildlife/beaver
Endangered,Near Threatened,Appendix II,"Most recently, scientists determined in 2019 that the population size is between 250 and 317 animals, with a most likely estimate of 279 animals",/wildlife/beluga-whale
Endangered,Least Concern,Appendix II,"There are fewer than 70,000 bighorn sheep in North America. The Sierra Nevada bighorn sheep and Peninsular bighorn sheep populations each number about 600.",/wildlife/bighorn-sheep
Not Listed,Near Threatened,Appendix II,"There are approximately 20,000 plains bison managed as wildlife and 5,000 of those are unfenced and disease-free",/wildlife/bison
Not Listed,Least Concern,Appendix II,"It is estimated that there are at least 600,000 black bears in North America. In the United States, there are estimated to be over 300,000 individuals. However, the Louisiana black bear (Ursus americanus luteolu) and Florida black bear (Ursus americanus floridanus) are unique subspecies with small populations: more than 4,000 Florida black bears and an estimated 500-750 Louisiana black bears, Louisiana’s state mammal. It was removed from the federal endangered species list in 2016",/wildlife/black-bear
Endangered,Endangered,Appendix I,Around 350 black-footed ferrets are left in the wild,/wildlife/black-footed-ferret
Threatened,Critically Endangered,Appendix I,"Current populations are unknown but estimates range from 2,500 to 10,000",/wildlife/bog-turtle
Not listed,Not listed,Not listed,"Population numbers are generally unknown, but due to shrinking habitat and other threats, populations are threatened and declining",/wildlife/butterflies
